Solution,2025,2026,2027
NLP/LLM,0.03156247936810057,0.02184483160575231,0.02277260087430477
Anomaly_detection,0.030625999284287296,0.02356882610668739,0.024714600450048845
Data_augmentation,0.054111859489542745,0.042888577872266374,0.04545526555739343
Adversarial_training,0.05568345985375345,0.04510961271201571,0.04735881361799935
Dimensionality_reduction,0.05779528144436578,0.04668789096952727,0.04960318064937989
Bayesian_network,0.057813534435505666,0.047262043420535825,0.05017894977936521
Outlier_detection,0.05885250819846988,0.047734629129990935,0.05066305175811673
Trustworthy_ai,0.06087561109840559,0.049810255072467655,0.0529009381425567
Data_provenance,0.06129475361376535,0.04977441304072272,0.05266677042042526
Data_sanitisation,0.06160334706752716,0.05009783720015548,0.05302902005496435
RRAM,0.061613334701784574,0.050225428480189294,0.05327465126659566
Noise_injection,0.06158556307248849,0.050373310611272856,0.05342636468897884
Defensive_distillation,0.061945123416080605,0.05070515993429581,0.053872433457096726
Spatial_smoothing,0.06206709440296739,0.05080867735978245,0.05400287095350601
